train_ratio,val_split,macd_fast,macd_slow,macd_signal,rsi_length,rsi_scalar,rsi_drift,MAE,RMSE,Closeness,model_filename
0.6,0.4,12,17,9,10,100,2,0.13111469102221748,0.17305461066997355,0.23999271583468634,ratio_60__macd_12_17_9__rsi_10_100_2.h5
0.6,0.4,12,17,9,14,100,1,0.26546337286988686,0.31793059704765864,0.28239610195854925,ratio_60__macd_12_17_9__rsi_14_100_1.h5
0.6,0.4,12,17,9,14,100,2,0.19465509313697799,0.2353070982874606,0.25484548395405976,ratio_60__macd_12_17_9__rsi_14_100_2.h5
0.6,0.4,12,26,5,10,100,1,0.23380505410392727,0.28437823862933526,0.2657138766146688,ratio_60__macd_12_26_5__rsi_10_100_1.h5
0.6,0.4,12,26,5,10,100,2,0.14432455734132482,0.17809607717987824,0.24608863432152206,ratio_60__macd_12_26_5__rsi_10_100_2.h5
0.6,0.4,12,26,5,14,100,1,0.3220324698447723,0.38142973043596906,0.32369057200816354,ratio_60__macd_12_26_5__rsi_14_100_1.h5
0.6,0.4,12,26,5,14,100,2,0.2962451343671689,0.351832171029418,0.30284530787087627,ratio_60__macd_12_26_5__rsi_14_100_2.h5
0.6,0.4,12,26,9,10,100,1,0.15520542480723262,0.19032227641267566,0.24733058855626425,ratio_60__macd_12_26_9__rsi_10_100_1.h5
0.6,0.4,12,26,9,10,100,2,0.20215762138136126,0.2440973479944567,0.25688392400936644,ratio_60__macd_12_26_9__rsi_10_100_2.h5
0.6,0.4,12,26,9,14,100,1,0.09046662008999272,0.11309844611002991,0.2512602264372244,ratio_60__macd_12_26_9__rsi_14_100_1.h5
0.6,0.4,12,26,9,14,100,2,0.2606571580850446,0.3129561632190638,0.27968988362360586,ratio_60__macd_12_26_9__rsi_14_100_2.h5
